,prefix_v4,ips_v4,prefix_v6,48s_v6
203267,5,1024,0,0
61963,1,256,0,0
198157,1,1024,0,0
40987,3,768,0,0
204832,4,1024,0,0
208428,1,256,0,0
33847,1,256,0,0
207418,1,256,0,0
47201,4,1024,4,4
209995,4,1024,0,0
200284,4,1024,0,0
198247,25,8704,1,1
39031,1,512,0,0
203896,3,1024,0,0
50811,1,256,0,0
201340,5,1024,0,0
200851,4,4096,2,1048576
200852,4,1024,0,0
44703,10,5768,0,0
205988,3,768,3,3
49832,1,256,0,0
206505,4,1024,0,0
61137,4,3584,0,0
60117,44,11264,7,917504
206570,1,512,0,0
60140,14,3584,2,1048576
198381,33,12544,0,0
204015,1,256,0,0
57585,3,768,0,0
47862,15,3584,0,0
198394,28,9984,0,0
198398,3,2304,0,0
197381,8,2048,0,0
8966,37,42752,6,65541
5384,325,2396928,0,0
35086,3,768,0,0
202024,14,2048,0,0
59695,1,2048,0,0
57143,0,0,0,0
202041,3,1024,0,0
57163,1,512,0,0
57171,1,512,0,0
57187,2,4096,2,4097
57702,1,256,0,0
198503,1,256,0,0
198504,22,13056,0,0
25465,5,1280,0,0
206204,2,512,0,0
208787,1,256,0,0
205213,4,1024,0,0
197024,1,256,0,0
198129,1,1024,0,0
50602,1,256,0,0
58283,1,256,0,0
202670,2,1024,0,0
58287,1,2048,0,0
206257,2,512,0,0
206771,1,1024,0,0
15802,187,1167616,8,524288
56479,1,8192,0,0
208800,6,2048,0,0
206277,1,2048,0,0
201678,15,3072,0,0
202715,2,1024,0,0
59868,1,256,0,0
201700,3,512,0,0
5613,3,512,0,0
51182,8,2304,1,65536
57000,1,256,0,0
52216,0,0,0,0
60924,19,4096,1,524288
