Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,40,52,61,63,64,68,78,84.9999915049492,88,90.4,90.5,90.60000732,94.81992254,98.4500017817194,..
United Arab Emirates,ARE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,98.8212870990416,104.134185028642,125.331675106398,131.994529364395,134.790660335273,127.789875260644,131.079616715606,150.687604221407,174.643446174185,182.534236651681,193.703483790174,212.638986516369,208.978599909794,208.504833215467,..
United Arab Emirates,ARE,Mobile cellular subscriptions,IT.CEL.SETS,4534143,5519293,7731508,9357735,10671878,10926019,11727401,13775252,16063547,16819024,17942560,19905093,19826224,20081015,..
United Arab Emirates,ARE,Fixed broadband subscriptions,IT.NET.BBND,129320,240620,379800,557577,690424,786818,866968,954988,1041934,1091763,1234447,1297585,2761830,3024565,..
United Arab Emirates,ARE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2.81851914411346,4.53985095583654,6.15675107694512,7.86484268889978,8.72036832423688,9.20256262347971,9.69028288063959,10.446622230954,11.3279429783505,11.8487330661725,13.3267875071522,13.8616362816714,29.1111089327381,31.404608824521,..
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,9770529
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.3037335136591,28.2439524318043,32.91,51.95,53,55,76.9999665032303,88,90.0000397,90.5031334814656,93.4783011354165,97.9999807,95.87813575,98.6446725799886,..
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,86.2723861964722,94.6802960712341,107.728403475561,129.259734748677,118.302454863654,126.283384104573,132.507817933875,163.384191934422,168.071706457961,174.316112493685,183.62453356815,210.049221765868,158.256808890579,133.34093686562,..
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,767103,907433,1115979,1440782,1401974,1567000,1693650,2123903,2210190,2328994,2519055,2994865,2364477,2092714,..
Bahrain,BHR,Fixed broadband subscriptions,IT.NET.BBND,21432,38628,68253,93618,139513,154912,291521,295387,300056,287572,253041,232385,213880,184603,..
Bahrain,BHR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2.41035399543841,4.03039174973759,6.58864254830735,8.39893741572399,11.772493916002,12.4842447979627,22.8080250299065,22.7230557624021,22.8174609209842,21.5236420111146,18.4452247365056,16.2986606742077,14.3152021717771,11.7623033860356,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641172
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.8946039115275,37.8193834276939,41.24806709,44.95020425,46.9243380864905,..
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,18.0468192651224,23.4164801019043,38.4671547849793,51.8441672649403,68.222555998722,85.3793506102223,98.693816668341,112.006814032818,112.782506928425,105.409341009824,101.702251886245,103.540996977217,106.755939396112,95.2865968179704,..
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,13629602,18001106,30093673,41286662,55352233,70661005,83425145,96798801,99704976,95316034,94016152,97791441,102958194,93784497,..
"Egypt, Arab Rep.",EGY,Fixed broadband subscriptions,IT.NET.BBND,140999,258526,477432,769744,1077489,1451628,1845249,2288773,2676263,3067878,3826410,4469164,5233872,6579762,..
"Egypt, Arab Rep.",EGY,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.186695361285164,0.33629983262278,0.610276141543181,0.966576970722027,1.32802327307205,1.75399509202587,2.18297093176691,2.64836102437193,3.02728772874675,3.39274500530032,4.1392303913911,4.73192430219622,5.42693009979377,6.68514678766367,..
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,100388073
