,prefix_v4,ips_v4,prefix_v6,48s_v6
36992,1111,6303744,346,196608
2561,78,20736,0,0
37250,1,256,0,0
24835,1069,1943040,4,65536
8452,999,7605248,1,65536
36870,3,768,0,0
37252,3,512,0,0
37003,3,768,0,0
30993,26,6656,0,0
30995,4,1024,0,0
25364,11,2816,0,0
36885,1,256,0,0
20484,26,6656,0,0
36893,2,8192,0,0
327838,1,256,0,0
24863,1485,1609216,7,268435456
328299,3,2048,0,0
328484,1,256,0,0
327846,1,256,0,0
33777,1,256,0,0
36906,3,1024,0,0
37191,6,2048,0,0
36978,6,1024,0,0
328308,1,256,0,0
37031,15,4096,0,0
37664,2,512,0,0
328052,1,256,0,0
37279,1,256,0,0
15804,30,7680,0,0
37437,4,1024,0,0
20928,181,196608,1,65536
36929,2,2304,0,0
328011,1,256,0,0
37444,1,256,0,0
201398,1,256,0,0
36935,437,2136832,0,0
37193,4,1024,0,0
37066,5,1024,0,0
31619,13,10240,0,0
8524,17,4352,0,0
37069,92,4506880,1,1
37583,2,512,0,0
37585,1,256,0,0
328405,2,768,0,0
31065,17,4352,0,0
37339,1,256,0,0
6879,24,6144,0,0
37091,1,256,0,0
37348,2,512,0,0
25576,29,24064,0,0
328553,1,256,0,0
328067,1,1024,0,0
6127,52,13824,0,0
33778,8,2048,0,0
15475,12,297216,0,0
328062,1,256,0,0
33782,6,16384,0,0
37112,5,1280,0,0
33785,15,4608,1,65536
207740,1,256,1,1
36990,1,1024,0,0
