,prefix_v4,ips_v4,prefix_v6,48s_v6
210247,4,1024,0,0
198666,1,256,0,0
201749,6,1536,0,0
50710,590,297984,10,524288
198169,4,1024,0,0
210095,4,1024,0,0
209438,2,512,0,0
203811,2,512,0,0
204331,4,1024,0,0
206893,4,1024,0,0
57908,3,768,0,0
206391,1,256,0,0
201272,4,1024,0,0
205371,4,1024,0,0
205889,12,3072,0,0
59458,6,1536,0,0
41032,21,5376,2,8192
57417,2,512,0,0
202316,4,1024,8,8
198735,19,4096,0,0
210021,6,1536,0,0
207462,3,768,0,0
57958,8,3072,0,0
3178,17,3072,1,65536
210194,4,1024,0,0
203374,2,512,0,0
202354,2,512,0,0
3194,9,2304,0,0
207097,4,1024,2,131072
203904,3,768,0,0
203409,1,256,0,0
199826,3,768,0,0
60051,0,0,0,0
44181,1,256,0,0
202777,3,768,0,0
12952,5,1280,0,0
209348,4,1024,0,0
209565,27,6912,0,0
205470,1,256,0,0
200865,6,17664,0,0
56484,14,3328,0,0
204473,4,768,0,0
204471,1,256,0,0
44217,33,11776,3,65536
208570,4,1024,0,0
203459,5,1280,0,0
59588,33,6912,1,1
210066,5,1024,0,0
207565,1,256,0,0
203982,4,1024,0,0
34515,4,1024,8,524288
200654,3,768,0,0
200929,1,256,0,0
207588,1,256,0,0
59625,4,1024,1,65536
210162,3,768,0,0
208115,2,512,0,0
57588,23,4608,0,0
60663,1,256,0,0
205049,4,1024,0,0
197882,32,8192,1,1
208131,5,1024,0,0
197893,12,3072,0,0
62223,3,1024,0,0
206611,8,1536,0,0
209173,2,1024,0,0
48407,19,4608,1,65536
21277,56,66560,9,655360
207138,2,512,0,0
209699,2,512,0,0
200485,4,1024,1,524288
39216,34,8192,15,15
206641,5,1024,0,0
208365,3,768,0,0
213302,1,256,0,0
202055,5,1024,0,0
51018,84,19456,3,65536
51539,3,2048,1,524288
207701,0,0,0,0
35160,3,768,0,0
52059,4,1024,0,0
198802,14,2816,0,0
206190,4,1024,0,0
205169,4,1024,0,0
206706,1,256,0,0
204149,5,1024,0,0
204152,5,1024,0,0
206206,25,9984,2,2
203653,4,1024,0,0
208023,2,512,0,0
60815,5,1280,0,0
62368,2,512,0,0
49571,13,3328,0,0
50597,32,7424,7,524288
207786,4,1024,0,0
201031,5,1024,0,0
202672,3,768,0,0
207281,1,256,0,0
208306,2,512,0,0
200697,1,256,0,0
201145,3,768,0,0
198589,35,8960,0,0
207264,1,256,0,0
207811,2,512,0,0
201668,4,1024,0,0
205254,4,1024,2,524288
205473,18,3584,0,0
207304,1,256,0,0
202699,7,1792,0,0
203214,2,1024,0,0
203217,17,4352,0,0
58322,25,6144,1,1
49110,1,256,0,0
203735,9,2304,1,524288
204249,3,768,1,1
208859,4,1024,0,0
208293,0,0,0,0
208866,2,512,0,0
51684,27,4864,0,0
205800,2,512,0,0
57324,23,5888,0,0
203257,4,1024,0,0
204798,2,512,0,0
