,prefix_v4,ips_v4,prefix_v6,48s_v6
206854,4,1024,0,0
202762,3,768,0,0
204812,1,256,0,0
206862,2,1536,0,0
34837,24,6144,0,0
57366,1,256,0,0
208560,3,512,0,0
51235,11,7168,0,0
202788,5,1024,0,0
59431,12,3072,0,0
51241,3,512,0,0
205490,3,1024,0,0
57391,2,512,0,0
34865,2,1280,0,0
59442,1,512,0,0
213043,1,256,0,0
62196,4,4096,0,0
34871,2,512,0,0
204865,1,256,0,0
51274,3,768,0,0
204813,3,3072,0,0
51280,3,768,0,0
47188,1,512,0,0
62137,3,768,0,0
200796,2,2048,0,0
41061,6,1024,0,0
204904,3,1024,0,0
209596,1,1024,0,0
59501,1,256,0,0
57457,10,2048,0,0
59506,21,16384,0,0
57461,6,1536,0,0
207796,4,1024,0,0
43135,3,768,0,0
57474,8,2048,0,0
24707,5,1024,0,0
203798,1,1024,0,0
59526,2,512,0,0
57497,25,7168,2,2
51355,2,1024,0,0
47262,5,25600,1,65536
39074,121,30976,0,0
59573,1,4096,0,0
30902,12,6656,0,0
61129,4,1024,0,0
41152,3,2048,0,0
43211,4,1024,0,0
204834,15,4864,0,0
207057,2,1024,0,0
51411,7,2560,0,0
213028,1,256,0,0
57563,4,9216,0,0
43233,35,8960,0,0
47330,3,1792,0,0
35043,5,2816,0,0
51431,4,1024,0,0
59635,1,512,0,0
47350,1,256,0,0
203000,1,256,0,0
209279,1,256,0,0
51460,3,512,0,0
59654,1,256,0,0
20749,1,256,0,0
203026,4,1024,0,0
207125,2,1024,0,0
51488,1,1024,0,0
207141,10,6144,1,524288
59441,7,7424,10,524288
59691,1,1024,0,0
58249,1,256,0,0
59708,3,1280,0,0
205118,1,256,0,0
29068,27,29696,0,0
24631,131,123904,1,524288
201442,4,1024,0,0
43343,32,8192,0,0
57687,4,1024,0,0
203100,4,1024,0,0
51554,9,3328,0,0
59754,7,1024,0,0
59757,1,256,0,0
12660,27,25088,0,0
205176,2,1024,0,0
60138,5,2048,0,0
59797,1,256,0,0
43395,38,13568,0,0
29079,17,4096,0,0
39308,21,56320,1,65536
57745,8,2048,0,0
59794,9,3072,0,0
29077,2,768,0,0
43415,12,2560,1,524288
12697,1,256,0,0
205217,1,256,0,0
51618,5,1024,0,0
199082,9,3072,0,0
60148,21,5376,0,0
49596,8,2048,2,1048576
59838,3,512,0,0
39364,3,3072,0,0
62198,4,1024,0,0
47558,1,2048,0,0
31175,4,1024,0,0
39368,4,1024,0,0
31182,1,256,0,0
203102,2,1024,0,0
35285,1,256,0,0
57816,4,2048,0,0
43487,4,1024,0,0
57831,0,0,1,524288
59884,5,1024,0,0
203247,4,1024,0,0
43510,13,4096,0,0
49666,19,5632,1,1
204203,1,256,0,0
43528,7,1024,0,0
59914,3,768,0,0
201227,3,768,0,0
21005,4,1024,0,0
205229,1,1024,0,0
49680,16,4096,0,0
51732,1,256,0,0
39454,1,256,0,0
25124,12,49152,0,0
39466,1,1024,0,0
61191,1,256,0,0
51759,1,4096,0,0
207409,1,256,0,0
209462,1,256,0,0
59961,1,256,0,0
59962,34,9216,0,0
25158,1,256,0,0
31303,1,4096,0,0
51785,3,2048,0,0
51788,7,1792,0,0
39501,76,194048,0,0
6736,10,132352,4,65540
62039,1,512,0,0
25184,114,50432,6,524288
205415,0,0,1,65536
60014,2,768,0,0
201150,11,21504,0,0
205588,3,768,1,65536
203392,4,1024,0,0
57986,6,1024,0,0
49796,4,768,0,0
209544,1,256,0,0
43657,5,1024,0,0
39571,10,2048,0,0
41620,4,4096,0,0
8868,12,3072,0,0
205837,4,1024,0,0
25264,8,2048,0,0
21170,1,256,0,0
47796,3,768,0,0
62238,1,1024,0,0
49847,9,2304,0,0
62140,2,512,0,0
58053,3,512,0,0
47817,1,256,0,0
62157,3,512,0,0
49872,11,3072,0,0
205521,1,1024,0,0
208675,3,768,0,0
41689,0,0,0,0
25306,33,8192,0,0
62173,2,512,0,0
197343,13,10496,0,0
58080,2,1536,0,0
58081,5,2048,0,0
39650,16,8960,1,524288
47843,5,1536,0,0
209638,2,1024,0,0
43754,208,180736,11,4456448
205550,2,512,0,0
31476,1,2048,0,0
60310,7,1792,0,0
58104,2,512,0,0
62250,5,5120,0,0
204686,1,256,0,0
58125,1,256,0,0
49936,1,256,0,0
60178,3,768,0,0
62229,3,768,0,0
58142,35,11264,0,0
35615,10,1536,0,0
207655,1,256,0,0
58152,1,256,0,0
62153,5,1024,0,0
58161,1,256,0,0
49970,1,4096,0,0
205622,1,1024,0,0
58169,1,256,0,0
31549,295,1213952,1,4194304
207680,4,1024,0,0
201540,24,16384,0,0
62263,2,512,0,0
62284,9,2304,0,0
209741,2,512,0,0
205647,0,0,0,0
50000,1,256,0,0
52049,1,1024,0,0
62265,3,512,0,0
58201,1,256,0,0
21341,28,26368,0,0
60256,2,512,0,0
52070,3,512,1,8192
35690,5,1024,0,0
58222,1,256,0,0
58224,1070,2503680,0,0
201194,7,1536,0,0
62334,7,1024,0,0
41856,13,4096,0,0
50057,8,2048,0,0
58251,1,512,0,0
58256,3,768,0,0
41881,135,85248,2,589824
62362,1,256,0,0
58267,1,256,0,0
48029,1,256,0,0
64414,2,512,0,0
60320,1,256,0,0
204955,1,1024,0,0
203684,7,2560,0,0
21419,3,3072,0,0
52140,1,2048,0,0
13231,3,512,0,0
64434,3,768,0,0
60340,1,1024,0,0
52155,3,768,0,0
43965,13,12544,1,1
58303,4,2048,0,0
50114,1,256,0,0
202571,2,1024,0,0
59553,1,512,0,0
64460,1,256,0,0
199633,1,256,0,0
201689,7,2048,0,0
58331,8,2048,8,524288
58333,2,512,0,0
58338,1,512,0,0
52196,1,256,0,0
62442,1,256,0,0
60407,3,512,0,0
