,prefix_v4,ips_v4,prefix_v6,48s_v6
49792,1,1024,1,524288
209029,2,512,0,0
202092,1,1024,0,0
205579,1,1024,0,0
60302,4,1024,0,0
47887,84,28672,1,65536
52112,1,1024,0,0
209560,1,1024,0,0
203931,1,512,0,0
44702,44,9216,9,524288
42912,11,28672,2,65536
197921,2,2048,0,0
60838,2,512,0,0
33831,5,8192,0,0
60849,6,1280,0,0
38968,3,2048,0,0
28730,9,2048,0,0
59451,8,2048,0,0
48832,271,69888,5,65536
35656,4,2048,0,0
9038,135,91904,0,0
208336,2,512,0,0
8376,550,261376,429,65536
35282,1,256,0,0
206060,5,1024,0,0
206553,3,768,0,0
200666,1,1024,0,0
203357,2,512,0,0
21088,2,12288,0,0
206608,4,1024,0,0
207332,1,256,0,0
8934,24,8704,0,0
204327,1,1024,0,0
50670,28,6144,1,65536
51958,2,512,0,0
8697,25,17408,0,0
201982,3,768,0,0
