,prefix_v4,ips_v4,prefix_v6,48s_v6
39682,1,256,0,0
198019,1,256,0,0
51080,2,512,0,0
203273,1,256,0,0
203147,1,512,0,0
209068,2,1280,0,0
42642,2,512,0,0
43158,2,512,0,0
201378,2,512,0,0
3225,87,68096,3,65536
25242,9,65536,0,0
196635,16,4096,0,0
201756,1,1024,0,0
42781,103,97280,1,65536
56680,1,256,0,0
25122,36,24064,2,2
199729,4,1024,0,0
50475,1,256,1,1
203308,5,2048,0,0
29357,99,267776,48,32785
202414,2,1024,4,524288
43184,2,512,0,0
56753,2,512,0,0
196659,5,1280,0,0
210270,3,512,0,0
29237,2,512,0,0
196921,52,32768,0,0
21050,281,199424,1,65536
206879,3,1024,0,0
16060,2,512,0,0
199869,5,1024,0,0
57278,2,512,0,0
49205,2,512,0,0
60992,1,256,0,0
9155,387,150528,1,65536
41669,3,768,0,0
208710,1,1024,0,0
61089,4,1024,0,0
43080,1,8192,0,0
51914,2,512,0,0
43852,5,8448,0,0
41890,4,3072,0,0
39504,4,2048,0,0
42961,188,641536,4,4
47442,40,9216,0,0
50774,2,512,0,0
207130,6,1024,0,0
204638,3,768,0,0
47589,204,197632,8,524288
208899,4,1024,0,0
49104,1,256,0,0
210245,3,768,0,0
199616,4,1280,0,0
29029,16,4096,0,0
199526,1,256,0,0
41576,2,512,0,0
35181,12,3328,0,0
42606,1,256,0,0
52081,3,768,0,0
57714,1,256,0,0
60661,0,0,0,0
57719,1,256,0,0
198392,2,512,0,0
205554,11,2816,0,0
205780,4,1024,0,0
