,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,7,1792,0,0
12812,5,1280,0,0
56333,4,1024,0,0
56337,1,256,0,0
42003,61,145920,0,0
202772,1,256,0,0
59931,1,256,0,0
42020,8,2048,3,513
197674,16,4096,0,0
43056,6,1536,0,0
59955,4,1024,0,0
34356,4,1024,0,0
24634,34,29440,1,65536
206911,2,512,0,0
34370,3,768,0,0
34884,3,768,0,0
206406,5,1280,0,0
60999,2,1280,0,0
198727,6,2304,0,0
48206,4,1024,0,0
57937,1,256,0,0
50770,2,768,0,0
47701,5,1024,0,0
59989,6,1280,0,0
38999,11,2816,0,0
12376,1,256,0,0
39010,145,39936,1,65536
48740,1,256,0,0
47719,4,1024,0,0
3176,3,768,0,0
60524,1,1024,0,0
50285,1,2048,0,0
197249,1,256,0,0
206472,4,1024,0,0
203913,1,256,0,0
34447,1,1024,0,0
62100,3,768,0,0
15511,3,768,0,0
50839,1,256,0,0
34458,24,6144,0,0
44189,2,512,0,0
31390,4,1024,0,0
57513,8,2048,0,0
206519,2,512,0,0
61113,1,256,0,0
62144,1,256,0,0
25281,1,1024,0,0
51910,7,1280,0,0
42183,3,768,0,0
48335,1,256,0,0
48847,20,5376,0,0
56530,1,256,0,0
198867,2,512,0,0
206550,1,1024,0,0
3290,4,1024,0,0
51938,4,1024,0,0
34032,3,768,0,0
13044,0,0,0,0
16130,11,2816,0,0
35074,147,37632,0,0
57604,3,768,0,0
34062,4,1024,0,0
16169,4,1024,0,0
12590,3,768,0,0
43824,28,7424,0,0
24892,4,1024,0,0
31037,4,1024,0,0
34113,4,1024,0,0
50500,4,1024,0,0
201544,1,256,0,0
42828,4,1024,0,0
42835,1,1024,0,0
9051,139,56576,1,65536
42334,55,14080,0,0
203615,5,1024,0,0
29027,4,1024,0,0
31587,4,1024,0,0
42852,14,6912,0,0
51558,1,256,0,0
41833,59,19456,1,65536
203637,4,1024,0,0
206197,1,256,0,0
49020,4,1024,0,0
35197,7,14336,0,0
25471,4,1024,0,0
20874,4,1024,0,0
29070,4,1024,0,0
61330,3,768,0,0
25491,4,1024,0,0
34708,7,2048,0,0
24982,2,512,0,0
31126,309,74240,2,65536
57256,10,2560,0,0
58281,2,512,0,0
29099,4,1024,0,0
57778,5,1024,0,0
44979,4,1024,0,0
34741,4,1024,0,0
29623,4,1024,0,0
64443,4,1024,0,0
39868,1,256,0,0
41423,2,2048,0,0
60372,4,1024,0,0
199643,1,256,0,0
41956,5,2048,0,0
39402,1,1024,0,0
39918,2,512,0,0
60398,6,1536,0,0
48629,5,1280,0,0
60406,1,256,0,0
61432,1,256,0,0
8699,4,1024,0,0
