,prefix_v4,ips_v4,prefix_v6,48s_v6
41346,1,512,0,0
41347,2,512,0,0
199046,19,6656,1,65536
51336,9,16384,0,0
42506,6,2048,0,0
203479,1,256,0,0
59394,1,256,0,0
48270,1,1024,0,0
49539,1,256,0,0
47253,37,16384,0,0
51737,62,52736,0,0
50330,1,256,0,0
204626,3,512,1,1
42013,10,4096,1,524288
208031,2,1024,0,0
56995,6,5120,0,0
210116,1,1024,0,0
44075,4,1024,0,0
12975,227,267520,6,65536
31408,2,512,1,65536
52145,7,6144,0,0
44213,5,1024,0,0
35385,3,768,0,0
47546,5,1536,0,0
48701,1,256,0,0
48966,6,1536,0,0
208071,1,1024,0,0
42314,43,11008,1,65536
51407,187,88832,3,524288
12754,58,32768,1,65536
56787,10,2560,0,0
199895,2,512,0,0
208473,35,9472,0,0
197350,3,16384,0,0
15975,93,156672,1,65536
57704,30,10496,1,65536
61417,1,1024,1,65536
60268,13,3072,22,524288
20719,6,3072,0,0
51440,115,26112,1,65536
208661,2,1280,0,0
196725,1,2048,0,0
29310,9,2560,0,0
205205,5,1024,0,0
