,prefix_v4,ips_v4,prefix_v6,48s_v6
41472,5,8192,0,0
203268,8,2048,0,0
57863,5,1280,0,0
39432,11,2816,0,0
35338,1,256,0,0
200025,4,1024,0,0
206878,2,512,0,0
44577,6,1536,0,0
209444,1,256,0,0
201768,2,2304,0,0
47146,3,768,0,0
201771,9,19200,0,0
42028,2,512,0,0
60462,1,1024,0,0
51549,1,256,0,0
206942,3,1024,0,0
48695,301,90624,1,1
209464,1,256,0,0
42591,3,768,1,1
21002,4,1024,0,0
29255,8,51200,0,0
44623,1,256,0,0
49240,6,1024,0,0
209497,2,512,0,0
34397,48,337664,0,0
41054,6,1024,0,0
30815,12,3584,0,0
34400,23,2187264,0,0
35427,4,1024,0,0
50280,1,512,0,0
49257,5,1024,0,0
44138,3,768,0,0
205159,1,2048,0,0
48237,0,0,0,0
198254,9,2048,0,0
57968,2,512,0,0
57458,2,512,0,0
44689,2,512,0,0
34426,32,32768,0,0
197247,2,512,0,0
30857,8,2816,3,4
49805,1,256,0,0
15505,8,1536,0,0
60050,2,1024,0,0
60055,3,1024,0,0
202392,1,256,0,0
24731,1,256,0,0
31699,10,2048,0,0
49317,2,512,0,0
49833,1,1024,0,0
201927,3,1024,0,0
41132,3,20480,0,0
203378,1,256,0,0
47794,326,197632,6,524288
31416,0,0,1,65536
41659,1,256,0,0
42684,1,256,0,0
47805,6,1536,2,2
8895,133,98816,4,65536
50880,19,4864,0,0
42182,1,256,0,0
56865,3,768,0,0
48840,8,2048,0,0
60621,3,1024,0,0
209197,1,512,0,0
41176,26,50176,1,65536
41594,3,768,0,0
47327,1,256,0,0
202982,7,1280,0,0
204011,2,512,0,0
202992,2,512,0,0
3311,4,1024,0,0
47344,5,1024,0,0
12529,2,512,0,0
43987,17,24320,0,0
43766,362,198400,181,181
43775,26,6656,0,0
60161,6,1280,0,0
30981,7,34304,0,0
198406,4,2048,0,0
51975,8,2816,1,65536
57900,1,256,0,0
28938,3,8448,0,0
41739,1,256,0,0
201484,2,512,0,0
207661,1,256,0,0
42769,1,8192,0,0
56604,1,256,0,0
47907,2,512,0,0
48932,8,1536,0,0
48937,7,2048,0,0
35629,24,6144,0,0
43316,3,512,0,0
50999,15,32768,0,0
39228,17,4096,1,16384
58250,7,9472,0,0
207169,15,3840,0,0
49474,3,768,0,0
210248,1,256,0,0
41810,16,10240,0,0
61268,2,512,0,0
50517,3,8448,0,0
42838,1,2048,0,0
57689,1,256,0,0
42333,1,256,0,0
35681,4,1024,0,0
210275,4,1024,0,0
197989,6,1536,0,0
206694,4,1024,0,0
25233,60,166400,1,65536
197994,1,2048,0,0
203116,1,1024,1,524288
43378,3,512,0,0
202615,3,768,0,0
202105,29,7424,0,0
59771,0,0,1,1
56714,3,512,0,0
209308,8,2048,0,0
196848,1,256,0,0
58277,1,1024,0,0
35753,200,179200,4,65536
42411,13,3072,2,2
207276,1,256,0,0
62452,2,768,1,1
25019,1187,4055808,114,21867
42428,29,49152,2,524289
39358,4,768,3,2
42943,21,5376,0,0
49610,1,256,0,0
44995,3,2048,0,0
57799,4,1024,0,0
43977,6,1280,0,0
39370,11,2048,0,0
51670,3,512,0,0
39386,12,33280,1,524288
35819,389,1933824,8,196613
39919,21,8960,0,0
209905,9,2048,0,0
207443,1,256,0,0
29684,116,28160,8,65537
58025,5,1024,0,0
29690,28,16640,1,65536
41215,1,256,0,0
