,prefix_v4,ips_v4,prefix_v6,48s_v6
206849,8,2048,0,0
34818,1,256,0,0
51206,1,256,0,0
12296,4,24576,0,0
49161,1,256,0,0
30734,2,512,0,0
47123,24,6400,2,131072
208916,1,256,0,0
49175,1,256,0,0
49177,1,256,0,0
47134,6,4096,0,0
205829,4,1024,0,0
38920,2,512,0,0
60083,1,256,0,0
59447,81,38144,0,0
208952,1,256,0,0
203445,1,256,0,0
208961,1,256,0,0
200774,4,1024,0,0
205953,1,256,0,0
28746,8,2048,0,0
208972,4,1024,2,524288
5474,4,1024,1,1
47185,1,256,0,0
47190,1,256,0,0
206938,0,0,2,65537
24667,2,512,0,0
59487,1,256,0,0
59489,1,256,0,0
59490,1,256,0,0
202859,4,1024,0,0
43116,1,256,0,0
28781,1,256,0,0
204912,3,768,0,0
196627,1,256,0,0
41077,2,512,0,0
204918,2,1280,0,0
30840,1,256,0,0
51321,4,1024,0,0
196733,3,4608,0,0
207211,1,256,0,0
204938,4,1024,0,0
206991,13,3328,0,0
201411,22,6144,5,5
202900,1,256,0,0
12444,6,1536,0,0
51361,1,256,0,0
213157,1,256,0,0
34984,2160,1448448,40,40
20649,60,15360,0,0
34987,4,1024,0,0
34996,1,256,0,0
39095,6,1792,0,0
47288,20,5120,1,65536
47294,1,256,0,0
209088,1,1024,0,0
28865,2,512,0,0
8386,748,692224,0,0
58059,8,2048,0,0
202444,2,512,0,0
43210,1,256,0,0
201079,6,1536,0,0
43231,4,1024,0,0
47331,5559,3462912,0,0
30758,1,256,0,0
43239,1,256,0,0
43242,8,17152,1,524288
213234,0,0,6,21
49875,1,256,0,0
201086,1,256,0,0
43260,203,51968,16,4718599
57600,1,256,0,0
209154,3,3072,0,0
39172,4,1024,0,0
35079,1,256,0,0
49879,5,5632,0,0
8466,1,65536,0,0
8467,1,1024,0,0
51476,1,256,0,0
59674,25,6400,0,0
47387,1,256,0,0
43300,1,256,0,0
209189,4,1024,0,0
28967,2,512,0,0
61148,1,256,0,0
213301,5,1280,0,0
12599,11,2816,0,0
43322,1,256,0,0
49467,33,8448,0,0
43331,4,1792,0,0
8517,28,296448,1,65536
51703,3,768,0,0
201032,2,512,0,0
51533,1,256,0,0
41296,4,2816,0,0
51540,34,8704,0,0
39253,1,256,0,0
43352,7,11264,7,524288
24922,1,2048,0,0
43356,25,7936,0,0
51557,4,5888,0,0
51559,176,45056,97,97
201064,1,256,0,0
196971,1,256,0,0
31085,1,256,0,0
51566,1,256,0,0
35185,7,1792,0,0
51575,1,256,0,0
209275,2,512,0,0
199038,1,256,0,0
43391,50,27392,3,589824
20864,1,256,0,0
51585,1,256,0,0
39298,2,512,0,0
62187,1,256,0,0
29060,32,8192,0,0
205192,3,768,0,0
8589,1,1024,0,0
43417,6,1280,0,0
49563,1,256,0,0
207263,15,2048,0,0
29088,1,256,0,0
43425,1,256,0,0
47524,388,429056,33,12318
51625,6,1536,0,0
197042,3,1024,0,0
12729,2,8192,0,0
12735,476,142848,37,3334
201160,17,4352,0,0
41417,1,256,0,0
203216,4,1024,0,0
43479,4,1024,0,0
29144,7,1280,0,0
209371,21,5376,0,0
207326,4,1536,0,0
43488,1,256,0,0
209380,4,1024,0,0
8678,13,21248,0,0
12777,2,2304,0,0
57834,3,768,0,0
8685,63,42752,1,65536
59886,8,2048,1,65536
51695,14,3584,1,65536
20978,245,759552,2,65536
209395,0,0,2,2
57844,159,41472,1,65536
12794,11,4096,0,0
35331,1,256,0,0
29189,3,768,0,0
203271,1,256,2,65537
49672,1,256,0,0
197130,1,256,0,0
61966,2,1024,0,0
8721,1,8192,0,0
62211,2,2048,0,0
197143,11,2816,0,0
203289,3,1024,0,0
51739,1,256,0,0
57886,1,256,0,0
2592,1,65536,0,0
209441,1,1024,0,0
42075,1,1024,0,0
29221,1,256,0,0
35367,1,1024,0,0
2600,1,256,0,0
31274,1,512,0,0
6707,2,512,0,0
25145,74,18944,68,1572864
12861,5,1536,0,0
43582,1,256,0,0
205381,0,0,1,1
59895,4,1024,0,0
31307,1,256,0,0
29262,38,9728,0,0
57935,2,512,0,0
209490,3,768,0,0
205399,19,4864,2,1048576
12891,7,1792,0,0
12903,22,5632,0,0
208999,2,512,0,0
12908,3,8704,0,0
205424,16,4096,1,524288
203377,10,2560,18,524299
60027,4,1024,0,0
8831,4,3072,0,0
203393,8,2048,0,0
203399,1,1024,0,0
62095,4,1024,0,0
35474,1,1024,0,0
60056,2,512,0,0
206959,1,256,0,0
43677,5,1024,0,0
39582,107,33792,0,0
207519,1,256,0,0
8869,2,16384,0,0
6822,0,0,0,0
6823,22,5120,0,0
49840,8,2048,0,0
12978,243,410112,1,65536
49843,1,256,0,0
60093,1,256,0,0
39615,14,3584,0,0
60096,3,768,0,0
207553,1,256,0,0
43716,1,2048,0,0
49861,2,512,0,0
199366,22,5632,0,0
51915,1,256,0,0
197328,243,117248,0,0
41683,3,768,0,0
41686,1,256,0,0
29399,15,4096,4,262144
35547,2,512,0,0
207582,1,256,0,0
49887,1,256,0,0
25323,1,512,0,0
31471,2,512,0,0
60146,4,1024,0,0
8947,3,768,0,0
47865,1,256,0,0
29434,7,1792,0,0
199419,4,1024,0,0
21245,9,2304,0,0
31486,2,512,1,524288
207617,1,256,0,0
43779,1,256,0,0
207620,1,256,0,0
41735,1,256,0,0
197386,1,256,0,0
47883,114,28672,0,0
207629,1,256,0,0
58127,3,768,0,0
47894,20,5120,1,65536
41755,1,256,0,0
201178,3,768,8,8
58151,1,2048,1,2
9000,11,2816,0,0
29483,1,1024,0,0
58156,1,256,0,0
13102,2,512,0,0
209711,21,5376,0,0
201520,8,2048,0,0
209714,4,1024,0,0
31541,4,1024,0,0
2872,7,1792,0,0
199484,96,25088,2,2
9021,132,158208,2,589824
209727,1,256,0,0
49632,20,5120,0,0
58183,1,256,0,0
41801,2,3072,0,0
47952,8,2048,0,0
13138,16,8192,0,0
60250,1,256,0,0
58203,2,512,0,0
207709,10,2560,1,524288
201274,1,1024,0,0
20967,1,256,0,0
29549,4,1024,0,0
213252,1,256,1,1
9074,10,2560,2,2
209799,4,1024,0,0
52093,1,256,0,0
9095,2,98304,1,1
48011,4,1024,3,3
201618,3,512,0,0
13204,4,1024,0,0
52117,1,256,0,0
59887,1,256,0,0
31645,3,768,0,0
9121,7096,6925824,28,65536
31654,8,2048,0,0
50090,5,1280,0,0
207787,15,3840,1,524288
41902,10,2304,0,0
21427,1,256,0,0
58293,5,1280,0,0
58295,1,256,0,0
199608,9,2304,1,65536
31674,1,256,0,0
205757,2,512,0,0
50111,1,256,0,0
205768,1,1024,0,0
31689,20,4352,0,0
41933,2,512,0,0
