Country;ASNs;LIRs;IPv4 Allocated IPs;IPv4 Allocations;IPv4 Assignments;IPv4 Last /22 Allocations;IPv6 Allocated /32s;IPv6 Allocations;IPv6 Assignments
AE;88;72;3917312;113;24;55;183;36;12
BH;23;18;459776;51;2;11;50;15;1
IQ;94;98;657152;139;3;79;284;59;0
IR;585;349;12354304;1096;88;436;1573;262;3
JO;37;41;670720;100;7;31;105;28;0
KW;61;39;1725440;74;36;23;108;24;1
LB;143;115;564224;162;18;103;373;71;2
OM;10;11;846848;30;0;7;14;7;0
PS;46;29;626944;108;15;28;75;26;1
QA;14;13;833536;26;1;8;39;8;0
SA;149;105;8657920;255;83;65;279;62;12
SY;7;53;1123328;172;1;57;55;16;0
TR;575;371;16019456;717;152;315;1407;268;20
YE;5;5;68608;16;0;5;40;5;0
