Country;ASNs;LIRs;*Number of /22 from last /8;Total amount of IPv4 Allocated /32s;Total amount of IPv6 Allocated /32s
AE;88;79;59;3935744;207
AM;78;26;25;590848;97
AZ;51;46;38;749568;163
BH;22;17;11;449536;49
GE;95;119;53;1205504;220
IQ;110;110;95;672512;367
IR;632;428;535;12619264;1835
JO;36;41;32;667648;112
KW;65;41;27;1729536;140
LB;155;127;118;580608;404
OM;12;14;13;860160;22
PS;49;31;30;653568;97
QA;15;14;10;835584;47
RU;5989;1558;1540;40953856;5808
SA;156;123;84;8804864;335
SY;7;75;83;1152000;67
TM;8;3;2;18432;8
TR;600;418;406;16084992;1678
YE;4;6;6;69632;40
